item,calories,fat_g,carb_g,fiber_g,protein_g
8-Grain Roll,380,6,70,7,10
Almond Croissant,410,22,45,3,10
Ancho Chipotle Chicken Panini,500,19,57,4,26
Apple Fritter,460,23,56,2,7
Bacon Gouda & Egg Breakfast Sandwich,370,19,32,1,18
Banana Chocolate Smoothie,280,2.5,150,7,20
Banana Chocolate Smoothie,290,4.5,150,7,19
Banana Chocolate Smoothie,300,5,160,7,20
Banana Nut Bread,420,22,52,2,6
BBQ Chicken Protein Box,420,16,49,5,22
Berry Trio Yogurt,240,2.5,39,3,14
Birthday Cake Pop,170,9,23,0,1
Blueberry Muffin with Yogurt and Honey,380,16,53,1,6
Blueberry Scone,420,17,61,2,5
Brewed Coffee,3,0.1,5,0,0.3
Brewed Coffee,4,0.1,10,0,0.5
Brewed Coffee,5,0.1,10,0,1
Brewed Coffee,5,0.1,10,0,1
Burrata & Basil Pesto Small Sandwich,300,14,34,2,11
Butter Croissant,240,12,28,1,5
Butterfly Cookie,350,22,38,0,2
Caffe Americano,5,0,5,0,0.4
Caffe Americano,10,0,10,0,1
Caffe Americano,15,0,15,0,1
Caffe Americano,25,0,15,0,1
Caffe Latte,70,0.1,75,0,6
Caffe Latte,70,2.5,65,1,5
Caffe Latte,100,0.2,120,0,10
Caffe Latte,100,3.5,85,0,6
Caffe Latte,110,4.5,105,1,8
Caffe Latte,130,0.3,150,0,13
Caffe Latte,150,5,130,1,10
Caffe Latte,150,6,135,0,10
Caffe Latte,170,0.4,190,0,16
Caffe Latte,190,7,170,0,12
Caffe Latte,190,7,170,2,13
Caffe Latte,240,9,220,0,16
Caffe Mocha (Without Whipped Cream),110,1.5,60,1,7
Caffe Mocha (Without Whipped Cream),110,3.5,55,2,6
Caffe Mocha (Without Whipped Cream),130,4,70,1,6
Caffe Mocha (Without Whipped Cream),170,2,100,1,10
Caffe Mocha (Without Whipped Cream),180,5,85,2,9
Caffe Mocha (Without Whipped Cream),200,6,115,1,10
Caffe Mocha (Without Whipped Cream),220,2.5,125,2,13
Caffe Mocha (Without Whipped Cream),230,7,105,3,11
Caffe Mocha (Without Whipped Cream),260,8,140,2,13
Caffe Mocha (Without Whipped Cream),280,3,160,2,17
Caffe Mocha (Without Whipped Cream),290,9,140,4,14
Caffe Mocha (Without Whipped Cream),340,11,180,2,17
Cage-Free Eggs & Seasoned Grains Side Salad,360,18,33,3,17
Cappuccino,50,0.1,60,0,5
Cappuccino,50,1.5,40,0,3
Cappuccino,60,0.1,70,0,6
Cappuccino,70,3,65,1,5
Cappuccino,80,0.2,90,0,8
Cappuccino,80,3,70,0,5
Cappuccino,90,3.5,80,0,6
Cappuccino,100,3.5,80,1,7
Cappuccino,110,0.2,120,0,10
Cappuccino,120,4,100,0,8
Cappuccino,120,4.5,110,1,9
Cappuccino,150,6,135,0,10
Caramel,100,0.1,140,0,3
Caramel,150,0.1,200,0,3
Caramel,200,0.1,270,0,5
Caramel (Without Whipped Cream),180,0.1,160,0,3
Caramel (Without Whipped Cream),180,1.5,150,0,2
Caramel (Without Whipped Cream),200,2.5,160,0,3
Caramel (Without Whipped Cream),260,1.5,220,0,3
Caramel (Without Whipped Cream),280,0.1,220,0,4
Caramel (Without Whipped Cream),280,3.5,220,0,3
Caramel (Without Whipped Cream),330,0.1,290,0,5
Caramel (Without Whipped Cream),340,2.5,290,1,5
Caramel (Without Whipped Cream),370,5,300,0,5
Caramel Apple Spice (Without Whipped Cream),140,0,10,0,0
Caramel Apple Spice (Without Whipped Cream),210,0,15,0,0
Caramel Apple Spice (Without Whipped Cream),280,0,20,0,0
Caramel Apple Spice (Without Whipped Cream),360,0,25,0,0
Caramel Macchiato,100,1,70,0,6
Caramel Macchiato,100,3,60,1,4
Caramel Macchiato,120,4,80,0,5
Caramel Macchiato,140,1,105,0,8
Caramel Macchiato,150,4.5,90,1,7
Caramel Macchiato,180,5,115,0,8
Caramel Macchiato,190,1,130,0,11
Caramel Macchiato,200,5,115,1,9
Caramel Macchiato,240,1,170,0,13
Caramel Macchiato,240,7,150,0,10
Caramel Macchiato,250,7,140,1,11
Caramel Macchiato,300,8,180,0,13
Cauliflower Tabbouleh Side Salad,130,12,7,3,2
Certified Gluten-Free Breakfast Sandwich,280,13,18,6,18
Cheese & Fruit Protein Box,450,27,34,4,20
Cheese Danish,320,16,36,1,8
Chewy Chocolate Cookie,170,5,30,2,2
Chicken & Quinoa Protein Bowl with Black Beans and Greens,420,17,42,9,27
Chicken Artichoke on Ancient Grain Flatbread,510,27,37,5,24
Chicken BLT Salad Sandwich,470,25,35,3,21
Chicken Wrap Protein Box,460,22,45,4,20
Chocolate Cake Pop,160,8,23,1,2
Chocolate Chip Cookie,310,15,42,2,4
Chocolate Chip Cookie Dough Cake Pop,180,9,23,0,2
Chocolate Chunk Muffin,440,21,60,2,7
Chocolate Croissant,330,18,38,1,6
Chocolate Hazelnut Croissant,390,22,43,2,7
Chocolate Marble Loaf Cake,490,24,64,2,6
Chonga Bagel,300,5,50,3,12
Cinnamon Morning Bun,390,15,56,2,8
