category,item,calories,fat_g,carb_g,fiber_g,protein_g,sugars_g,retailer
Classic Espresso Drinks,Caffe Americano,5,0,5,0,0.4,0,Starbucks
Classic Espresso Drinks,Caffe Americano,10,0,10,0,1,0,Starbucks
Classic Espresso Drinks,Caffe Americano,15,0,15,0,1,0,Starbucks
Classic Espresso Drinks,Caffe Americano,25,0,15,0,1,0,Starbucks
Classic Espresso Drinks,Caffe Latte,70,0.1,75,0,6,9,Starbucks
Classic Espresso Drinks,Caffe Latte,70,2.5,65,1,5,4,Starbucks
Classic Espresso Drinks,Caffe Latte,100,0.2,120,0,10,14,Starbucks
Classic Espresso Drinks,Caffe Latte,100,3.5,85,0,6,9,Starbucks
Classic Espresso Drinks,Caffe Latte,110,4.5,105,1,8,6,Starbucks
Classic Espresso Drinks,Caffe Latte,130,0.3,150,0,13,18,Starbucks
Classic Espresso Drinks,Caffe Latte,150,5,130,1,10,8,Starbucks
Classic Espresso Drinks,Caffe Latte,150,6,135,0,10,14,Starbucks
Classic Espresso Drinks,Caffe Latte,170,0.4,190,0,16,23,Starbucks
Classic Espresso Drinks,Caffe Latte,190,7,170,0,12,17,Starbucks
Classic Espresso Drinks,Caffe Latte,190,7,170,2,13,11,Starbucks
Classic Espresso Drinks,Caffe Latte,240,9,220,0,16,22,Starbucks
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),110,1.5,60,1,7,17,Starbucks
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),110,3.5,55,2,6,13,Starbucks
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),130,4,70,1,6,17,Starbucks
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),170,2,100,1,10,27,Starbucks
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),180,5,85,2,9,20,Starbucks
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),200,6,115,1,10,26,Starbucks
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),220,2.5,125,2,13,34,Starbucks
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),230,7,105,3,11,26,Starbucks
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),260,8,140,2,13,34,Starbucks
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),280,3,160,2,17,44,Starbucks
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),290,9,140,4,14,33,Starbucks
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),340,11,180,2,17,43,Starbucks
Classic Espresso Drinks,Cappuccino,50,0.1,60,0,5,7,Starbucks
Classic Espresso Drinks,Cappuccino,50,1.5,40,0,3,3,Starbucks
Classic Espresso Drinks,Cappuccino,60,0.1,70,0,6,8,Starbucks
Classic Espresso Drinks,Cappuccino,70,3,65,1,5,4,Starbucks
Classic Espresso Drinks,Cappuccino,80,0.2,90,0,8,10,Starbucks
Classic Espresso Drinks,Cappuccino,80,3,70,0,5,7,Starbucks
Classic Espresso Drinks,Cappuccino,90,3.5,80,0,6,8,Starbucks
Classic Espresso Drinks,Cappuccino,100,3.5,80,1,7,5,Starbucks
Classic Espresso Drinks,Cappuccino,110,0.2,120,0,10,14,Starbucks
Classic Espresso Drinks,Cappuccino,120,4,100,0,8,10,Starbucks
Classic Espresso Drinks,Cappuccino,120,4.5,110,1,9,7,Starbucks
Classic Espresso Drinks,Cappuccino,150,6,135,0,10,14,Starbucks
Classic Espresso Drinks,Espresso,5,0,0,0,0.4,0,Starbucks
