category,item,calories,fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carb_g,fiber_g,sugars_g,protein_g,weight_watcher_points,item_type,size,milk_type
Cold Brew Coffee,"Cold Brew Coffee, Large",5,0,0,0,0,20,0,0,0,1,4,drink,large,not applicable
Cold Brew Coffee,"Cold Brew Coffee, Medium",5,0,0,0,0,15,0,0,0,0,5,drink,medium,not applicable
Cold Brew Coffee,"Cold Brew Coffee, Small",5,0,0,0,0,10,0,0,0,0,5,drink,small,not applicable
Cold Brew Coffee,"Cold Brew Coffee with Cream, Large",120,12,6,0,35,65,2,0,2,2,126,drink,large,cream
Cold Brew Coffee,"Cold Brew Coffee with Cream, Medium",90,9,4.5,0,25,45,1,0,1,2,93.5,drink,medium,cream
Cold Brew Coffee,"Cold Brew Coffee with Cream, Small",60,6,3,0,20,30,1,0,1,1,63,drink,small,cream
Cold Brew Coffee,"Cold Brew Coffee with Cream and Sugar, Large",260,12,6,0,35,65,37,0,36,2,300,drink,large,cream
Cold Brew Coffee,"Cold Brew Coffee with Cream and Sugar, Medium",190,9,4.5,0,25,45,27,0,27,2,219.5,drink,medium,cream
Cold Brew Coffee,"Cold Brew Coffee with Cream and Sugar, Small",130,6,3,0,20,30,18,0,18,1,150,drink,small,cream
Cold Brew Coffee,"Nitro Cold Brew Coffee, Medium",5,0,0,0,0,10,0,0,0,1,4,drink,medium,not applicable
Cold Brew Coffee,"Nitro Cold Brew Coffee, Small",5,0,0,0,0,5,0,0,0,0,5,drink,small,not applicable
Coolatta,"Blue Raspberry Coolatta, Large",460,0,0,0,0,60,112,0,110,0,570,drink,large,not applicable
Coolatta,"Blue Raspberry Coolatta, Medium",350,0,0,0,0,45,84,0,83,0,433,drink,medium,not applicable
Coolatta,"Blue Raspberry Coolatta, Small",230,0,0,0,0,30,56,0,55,0,285,drink,small,not applicable
Coolatta,"Vanilla Bean Coolatta, Large",790,6,3.5,0,20,320,172,0,167,10,950.5,drink,large,not applicable
Coolatta,"Vanilla Bean Coolatta, Medium",590,4.5,2.5,0,15,240,129,0,125,7,710.5,drink,medium,not applicable
Coolatta,"Vanilla Bean Coolatta, Small",390,3,1.5,0,10,160,86,0,83,5,469.5,drink,small,not applicable
Coolatta,"Pineapple Coolatta, Large",460,0,0,0,0,45,113,0,107,0,567,drink,large,not applicable
Coolatta,"Pineapple Coolatta, Medium",340,0,0,0,0,30,85,0,80,0,420,drink,medium,not applicable
Coolatta,"Pineapple Coolatta, Small",230,0,0,0,0,20,56,0,53,0,283,drink,small,not applicable
Donuts,Apple Spice Donut,230,10,4,0,0,300,31,1,10,4,240,food,not applicable,not applicable
Donuts,Apple Crumb Donut,290,11,4.5,0,0,310,44,1,22,5,311.5,food,not applicable,not applicable
Donuts,Apple Fritter,510,28,12,0,0,470,57,2,24,6,540,food,not applicable,not applicable
Donuts,Apple Stick,470,30,14,0,20,450,44,1,21,4,501,food,not applicable,not applicable
Donuts,Apple Streusel Donut (Regional),310,12,4.5,0,0,310,47,1,24,5,333.5,food,not applicable,not applicable
Donuts,Bavarian Kreme Donut,240,11,4,0,0,310,31,1,11,4,251,food,not applicable,not applicable
Donuts,Bismark,480,22,9,0,0,470,63,1,34,6,517,food,not applicable,not applicable
Donuts,Boston Kreme Donut,270,11,4.5,0,0,320,39,1,18,5,287.5,food,not applicable,not applicable
Donuts,Butternut Donut,430,21,10,0,20,320,57,1,34,4,470,food,not applicable,not applicable
Donuts,Chocolate Butternut Donut,440,23,10,0,0,420,55,2,32,4,478,food,not applicable,not applicable
Donuts,Chocolate Coconut Donut (Regional),420,23,11,0,0,420,48,1,26,4,453,food,not applicable,not applicable
Donuts,Chocolate Creme Donut,290,14,6,0,0,300,36,1,14,5,305,food,not applicable,not applicable
Donuts,Chocolate Creme Stick (Regional),460,23,9,0,0,450,58,2,33,6,496,food,not applicable,not applicable
Donuts,Chocolate Dipped French Cruller,280,15,7,0,50,150,33,0,20,3,304,food,not applicable,not applicable
Donuts,Chocolate Frosted Cake Donut,360,20,9,0,20,340,41,1,21,4,386,food,not applicable,not applicable
Donuts,Chocolate Frosted Donut,260,11,4.5,0,0,290,34,1,13,4,273.5,food,not applicable,not applicable
Donuts,Chocolate Frosted with Sprinkles Donut,270,12,5,0,0,290,36,1,15,4,286,food,not applicable,not applicable
Donuts,Chocolate Headlight Donut,310,14,6,0,0,310,41,1,19,5,330,food,not applicable,not applicable
Donuts,Chocolate Long John,320,15,6,0,0,400,41,1,16,6,336,food,not applicable,not applicable
Donuts,Cinnamon Donut,330,20,9,0,20,320,34,1,13,4,348,food,not applicable,not applicable
Donuts,Cinnamon Stick,430,30,14,0,20,390,34,1,13,4,453,food,not applicable,not applicable
Donuts,Coconut Donut,410,21,11,0,20,320,50,1,28,4,445,food,not applicable,not applicable
Donuts,Coffee Roll,390,19,8,0,0,440,48,2,17,7,408,food,not applicable,not applicable
Donuts,Creme Delight Donut (Regional),330,16,6,0,0,310,44,1,24,5,355,food,not applicable,not applicable
Donuts,Double Chocolate Donut,370,22,10,0,0,440,40,1,19,4,395,food,not applicable,not applicable
Donuts,Dulce de Leche Donut (Regional),270,11,4.5,0,0,280,37,1,13,5,282.5,food,not applicable,not applicable
Donuts,Eclair,370,16,6,0,0,470,50,2,23,6,393,food,not applicable,not applicable
Donuts,French Apple Donut (Regional),270,10,4,0,0,310,40,1,19,4,289,food,not applicable,not applicable
Donuts,French Cruller,230,14,7,0,50,135,21,0,10,3,244,food,not applicable,not applicable
Donuts,Frosted Vanilla Creme Donut,330,16,6,0,0,310,44,1,24,5,355,food,not applicable,not applicable
Donuts,Glazed Blueberry Donut,350,18,7,0,30,380,44,1,21,4,374,food,not applicable,not applicable
Donuts,Glazed Chocolate Donut,360,22,10,0,0,420,39,1,18,4,384,food,not applicable,not applicable
Donuts,Glazed Chocolate Stick,410,25,10,0,0,480,42,2,20,4,436,food,not applicable,not applicable
Donuts,Glazed Donut,240,11,4.5,0,0,270,33,1,13,4,253.5,food,not applicable,not applicable
Donuts,Glazed Jelly Donut,280,10,4,0,0,290,44,1,21,4,301,food,not applicable,not applicable
Donuts,Glazed Jelly Stick,530,30,14,0,20,430,61,1,34,4,574,food,not applicable,not applicable
Donuts,Glazed Lemon Donut (Regional),270,10,4,0,0,310,40,1,19,4,289,food,not applicable,not applicable
Donuts,Glazed Stick,460,30,14,0,20,390,43,1,21,4,491,food,not applicable,not applicable
Donuts,Glazed Strawberry Donut,280,10,4,0,0,280,44,1,23,4,303,food,not applicable,not applicable
Donuts,Guava Donut (Regional),240,10,4,0,0,280,32,1,12,4,252,food,not applicable,not applicable
Donuts,Indy Creme Donut (Regional),330,16,6,0,0,310,44,1,24,5,355,food,not applicable,not applicable
Donuts,Jelly Donut,250,10,4,0,0,290,36,1,13,4,263,food,not applicable,not applicable
Donuts,Jelly Stick,500,30,14,0,20,430,52,1,26,4,536,food,not applicable,not applicable
Donuts,Lemon Donut,230,10,4,0,0,310,31,1,10,4,240,food,not applicable,not applicable
