category,item,calories,fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carb_g,fiber_g,sugars_g,protein_g,weight_watcher_points,item_type,size
Cold Brew Coffee,"Cold Brew Coffee, Large",5,0,0,0,0,20,0,0,0,1,4,drink,large
Cold Brew Coffee,"Cold Brew Coffee, Medium",5,0,0,0,0,15,0,0,0,0,5,drink,medium
Cold Brew Coffee,"Cold Brew Coffee, Small",5,0,0,0,0,10,0,0,0,0,5,drink,small
Cold Brew Coffee,"Cold Brew Coffee with Cream, Large",120,12,6,0,35,65,2,0,2,2,126,drink,large
Cold Brew Coffee,"Cold Brew Coffee with Cream, Medium",90,9,4.5,0,25,45,1,0,1,2,93.5,drink,medium
Cold Brew Coffee,"Cold Brew Coffee with Cream, Small",60,6,3,0,20,30,1,0,1,1,63,drink,small
Cold Brew Coffee,"Cold Brew Coffee with Cream and Sugar, Large",260,12,6,0,35,65,37,0,36,2,300,drink,large
Cold Brew Coffee,"Cold Brew Coffee with Cream and Sugar, Medium",190,9,4.5,0,25,45,27,0,27,2,219.5,drink,medium
Cold Brew Coffee,"Cold Brew Coffee with Cream and Sugar, Small",130,6,3,0,20,30,18,0,18,1,150,drink,small
Cold Brew Coffee,"Nitro Cold Brew Coffee, Medium",5,0,0,0,0,10,0,0,0,1,4,drink,medium
Cold Brew Coffee,"Nitro Cold Brew Coffee, Small",5,0,0,0,0,5,0,0,0,0,5,drink,small
Coolatta,"Blue Raspberry Coolatta, Large",460,0,0,0,0,60,112,0,110,0,570,drink,large
Coolatta,"Blue Raspberry Coolatta, Medium",350,0,0,0,0,45,84,0,83,0,433,drink,medium
Coolatta,"Blue Raspberry Coolatta, Small",230,0,0,0,0,30,56,0,55,0,285,drink,small
Coolatta,"Vanilla Bean Coolatta, Large",790,6,3.5,0,20,320,172,0,167,10,950.5,drink,large
Coolatta,"Vanilla Bean Coolatta, Medium",590,4.5,2.5,0,15,240,129,0,125,7,710.5,drink,medium
Coolatta,"Vanilla Bean Coolatta, Small",390,3,1.5,0,10,160,86,0,83,5,469.5,drink,small
Coolatta,"Pineapple Coolatta, Large",460,0,0,0,0,45,113,0,107,0,567,drink,large
Coolatta,"Pineapple Coolatta, Medium",340,0,0,0,0,30,85,0,80,0,420,drink,medium
Coolatta,"Pineapple Coolatta, Small",230,0,0,0,0,20,56,0,53,0,283,drink,small
Frozen Coffee,"Caramel Swirl Frozen Coffee with Cream, Large",1120,40,22,1.5,130,290,180,0,172,10,1304,drink,large
Frozen Coffee,"Caramel Swirl Frozen Coffee with Cream, Medium",860,31,17,1,100,220,139,0,132,8,1001,drink,medium
Frozen Coffee,"Caramel Swirl Frozen Coffee with Cream, Small",610,22,12,0.5,70,160,97,0,92,6,708,drink,small
Frozen Coffee,"Caramel Swirl Frozen Coffee with Skim Milk, Large",830,5,3.5,0,25,240,184,0,176,11,998.5,drink,large
Frozen Coffee,"Caramel Swirl Frozen Coffee with Skim Milk, Medium",650,4.5,3,0,25,180,142,0,135,9,779,drink,medium
Frozen Coffee,"Caramel Swirl Frozen Coffee with Skim Milk, Small",470,4.5,3,0,20,130,99,0,94,6,561,drink,small
Frozen Coffee,"Caramel Swirl Frozen Coffee with Whole Milk, Large",880,11,7,0,40,240,184,0,175,11,1051,drink,large
Frozen Coffee,"Caramel Swirl Frozen Coffee with Whole Milk, Medium",680,9,6,0,35,180,141,0,134,8,812,drink,medium
Frozen Coffee,"Caramel Swirl Frozen Coffee with Whole Milk, Small",490,8,4.5,0,30,130,99,0,94,6,582.5,drink,small
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Cream, Large",1110,40,22,1.5,130,280,180,0,169,10,1291,drink,large
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Cream, Medium",860,31,17,1,100,220,138,0,130,8,999,drink,medium
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Cream, Small",610,22,12,0.5,70,150,97,0,91,6,707,drink,small
