category,item,calories,fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carb_g,fiber_g,sugars_g,protein_g,weight_watcher_points,item_type,size
Donuts,Apple Spice Donut,230,10,4,0,0,300,31,1,10,4,240,food,not applicable
Donuts,Apple Crumb Donut,290,11,4.5,0,0,310,44,1,22,5,311.5,food,not applicable
Donuts,Apple Fritter,510,28,12,0,0,470,57,2,24,6,540,food,not applicable
Donuts,Apple Stick,470,30,14,0,20,450,44,1,21,4,501,food,not applicable
Donuts,Apple Streusel Donut (Regional),310,12,4.5,0,0,310,47,1,24,5,333.5,food,not applicable
Donuts,Bavarian Kreme Donut,240,11,4,0,0,310,31,1,11,4,251,food,not applicable
Donuts,Bismark,480,22,9,0,0,470,63,1,34,6,517,food,not applicable
Donuts,Boston Kreme Donut,270,11,4.5,0,0,320,39,1,18,5,287.5,food,not applicable
Donuts,Butternut Donut,430,21,10,0,20,320,57,1,34,4,470,food,not applicable
Donuts,Chocolate Butternut Donut,440,23,10,0,0,420,55,2,32,4,478,food,not applicable
Donuts,Chocolate Coconut Donut (Regional),420,23,11,0,0,420,48,1,26,4,453,food,not applicable
Donuts,Chocolate Creme Donut,290,14,6,0,0,300,36,1,14,5,305,food,not applicable
Donuts,Chocolate Creme Stick (Regional),460,23,9,0,0,450,58,2,33,6,496,food,not applicable
Donuts,Chocolate Dipped French Cruller,280,15,7,0,50,150,33,0,20,3,304,food,not applicable
Donuts,Chocolate Frosted Cake Donut,360,20,9,0,20,340,41,1,21,4,386,food,not applicable
Donuts,Chocolate Frosted Donut,260,11,4.5,0,0,290,34,1,13,4,273.5,food,not applicable
Donuts,Chocolate Frosted with Sprinkles Donut,270,12,5,0,0,290,36,1,15,4,286,food,not applicable
Donuts,Chocolate Headlight Donut,310,14,6,0,0,310,41,1,19,5,330,food,not applicable
Donuts,Chocolate Long John,320,15,6,0,0,400,41,1,16,6,336,food,not applicable
Donuts,Cinnamon Donut,330,20,9,0,20,320,34,1,13,4,348,food,not applicable
Donuts,Cinnamon Stick,430,30,14,0,20,390,34,1,13,4,453,food,not applicable
Donuts,Coconut Donut,410,21,11,0,20,320,50,1,28,4,445,food,not applicable
Donuts,Coffee Roll,390,19,8,0,0,440,48,2,17,7,408,food,not applicable
Donuts,Creme Delight Donut (Regional),330,16,6,0,0,310,44,1,24,5,355,food,not applicable
Donuts,Double Chocolate Donut,370,22,10,0,0,440,40,1,19,4,395,food,not applicable
Donuts,Dulce de Leche Donut (Regional),270,11,4.5,0,0,280,37,1,13,5,282.5,food,not applicable
Donuts,Eclair,370,16,6,0,0,470,50,2,23,6,393,food,not applicable
Donuts,French Apple Donut (Regional),270,10,4,0,0,310,40,1,19,4,289,food,not applicable
Donuts,French Cruller,230,14,7,0,50,135,21,0,10,3,244,food,not applicable
Donuts,Frosted Vanilla Creme Donut,330,16,6,0,0,310,44,1,24,5,355,food,not applicable
Donuts,Glazed Blueberry Donut,350,18,7,0,30,380,44,1,21,4,374,food,not applicable
Donuts,Glazed Chocolate Donut,360,22,10,0,0,420,39,1,18,4,384,food,not applicable
Donuts,Glazed Chocolate Stick,410,25,10,0,0,480,42,2,20,4,436,food,not applicable
Donuts,Glazed Donut,240,11,4.5,0,0,270,33,1,13,4,253.5,food,not applicable
Donuts,Glazed Jelly Donut,280,10,4,0,0,290,44,1,21,4,301,food,not applicable
Donuts,Glazed Jelly Stick,530,30,14,0,20,430,61,1,34,4,574,food,not applicable
Donuts,Glazed Lemon Donut (Regional),270,10,4,0,0,310,40,1,19,4,289,food,not applicable
Donuts,Glazed Stick,460,30,14,0,20,390,43,1,21,4,491,food,not applicable
Donuts,Glazed Strawberry Donut,280,10,4,0,0,280,44,1,23,4,303,food,not applicable
Donuts,Guava Donut (Regional),240,10,4,0,0,280,32,1,12,4,252,food,not applicable
Donuts,Indy Creme Donut (Regional),330,16,6,0,0,310,44,1,24,5,355,food,not applicable
Donuts,Jelly Donut,250,10,4,0,0,290,36,1,13,4,263,food,not applicable
Donuts,Jelly Stick,500,30,14,0,20,430,52,1,26,4,536,food,not applicable
Donuts,Lemon Donut,230,10,4,0,0,310,31,1,10,4,240,food,not applicable
Donuts,Lemon Stick,470,31,14,0,20,460,44,1,21,4,501,food,not applicable
Donuts,Maple Creme Donut,290,14,5,0,0,290,38,1,18,4,309,food,not applicable
Donuts,Maple Creme Stick,460,22,9,0,0,440,59,1,34,5,498,food,not applicable
Donuts,Maple Frosted Donut,260,11,4.5,0,0,280,35,1,14,4,274.5,food,not applicable
Donuts,Maple Long John Donut (Regional),320,15,6,0,0,400,42,1,18,5,339,food,not applicable
Donuts,Maple Vanilla Creme Donut,330,15,6,0,0,300,45,1,25,4,357,food,not applicable
Donuts,Marble Frosted Donut (Regional),270,11,4.5,0,0,290,37,1,17,4,287.5,food,not applicable
Donuts,New Yorker Donut (Regional),330,16,6,0,0,310,44,1,24,5,355,food,not applicable
Donuts,Old Fashioned Donut,310,19,9,0,20,320,30,1,10,4,325,food,not applicable
Donuts,Peanut Donut,470,27,10,0,20,320,50,2,26,8,498,food,not applicable
Donuts,Plain Stick,410,30,14,0,20,390,31,1,10,4,430,food,not applicable
Donuts,Powdered Donut,330,20,9,0,20,320,34,1,14,4,349,food,not applicable
